time C,x[ST2826] F[ST2826] D[ST2826] I[2410] V[2410] 
1620723216766 6.86866e-12 5000 0.435459 1.8118e-08 21.4197 
1620723218060 6.81484e-12 5000 0.43757 1.93467e-08 22.2153 
1620723219364 6.56349e-12 5000 0.443356 2.05245e-08 23.1221 
1620723220761 6.78162e-12 5000 0.469231 2.0309e-08 24.0098 
1620723222055 6.49885e-12 5000 0.44098 2.28709e-08 25.0637 
1620723223367 6.56438e-12 5000 0.416458 2.3517e-08 26.211 
1620723224762 6.35202e-12 5000 0.501254 2.38826e-08 27.4695 
1620723226047 6.25663e-12 5000 0.454475 2.75665e-08 28.9133 
1620723227363 6.26859e-12 5000 0.487696 3.01305e-08 30.6139 
1620723228758 6.20424e-12 5000 0.501366 3.14278e-08 32.5746 
1620723230052 6.00235e-12 5000 0.528891 3.77907e-08 35.0104 
1620723231364 5.684e-12 5000 0.546565 4.48233e-08 38.119 
1620723232760 5.70878e-12 5000 0.606584 5.27374e-08 42.5237 
1620723234055 5.14443e-12 5000 0.655117 1.22503e-07 50.0354 
