time C,x[ST2826] F[ST2826] D[ST2826] I[2410] V[2410] 
1620723425271 5.47184e-12 5000 0.576055 4.93063e-08 43.5223 
1620723426664 5.6019e-12 5000 0.601638 5.06586e-08 44.0217 
1620723427956 5.41203e-12 5000 0.651332 5.24864e-08 44.5213 
1620723429341 5.28976e-12 5000 0.624895 5.27747e-08 45.0206 
1620723430735 5.40776e-12 5000 0.661469 5.37617e-08 45.5209 
1620723432029 5.18768e-12 5000 0.640633 5.58165e-08 46.019 
1620723433363 5.37138e-12 5000 0.639005 5.5864e-08 46.5201 
1620723434758 5.37517e-12 5000 0.642302 5.62009e-08 47.0208 
1620723436053 5.32513e-12 5000 0.654273 5.83587e-08 47.5388 
1620723437364 5.46628e-12 5000 0.634574 5.94474e-08 48.0376 
1620723438759 5.12395e-12 5000 0.686084 6.009e-08 48.5373 
1620723440053 5.41179e-12 5000 0.636777 6.20297e-08 49.0363 
1620723441364 5.48491e-12 5000 0.639109 6.22296e-08 49.5369 
1620723442758 5.0069e-12 5000 0.714299 6.20897e-08 50.0349 
