#voltage[V] current[uA] LCR_freq[Hz] CP D CPerror Derror 
13.2 0.0180 3162 2.03863E-11 1.26052E-2 9.15399E-14 5.65955E-3
13.2 0.0170 10000 2.04375E-11 1.42790E-2 2.06085E-14 1.19862E-3
13.2 0.0180 31623 2.03672E-11 1.11656E-2 6.10184E-15 8.79028E-4
13.2 0.0180 100000 2.01192E-11 2.64179E-2 2.17580E-15 8.56236E-5
13.2 0.0170 316228 2.02163E-11 5.99822E-2 1.34409E-14 4.45606E-4
13.2 0.0180 1E6 2.16224E-11 1.54291E-1 1.09798E-14 2.83731E-4
13.7 0.0180 1000 2.05793E-11 8.47508E-2 2.72434E-14 9.94213E-4
13.7 0.0170 3162 2.05783E-11 2.17726E-2 2.55946E-14 5.75133E-3
13.7 0.0170 10000 2.00596E-11 6.77581E-3 7.84408E-15 3.93492E-4
13.7 0.0150 31623 2.01102E-11 1.12664E-2 1.55344E-14 6.75013E-4
13.7 0.0170 100000 1.98744E-11 2.59896E-2 2.34113E-15 1.23856E-4
13.7 0.0180 316228 1.99561E-11 5.85728E-2 2.08131E-14 7.95529E-4
13.7 0.0180 1E6 2.13818E-11 1.50455E-1 1.04328E-14 5.43597E-4
14.1 0.0180 1000 2.03517E-11 8.69556E-2 9.78348E-15 1.32243E-3
14.1 0.0190 3162 2.00781E-11 9.69224E-3 3.99416E-14 4.70418E-3
14.1 0.0180 10000 1.98078E-11 9.52040E-3 1.06817E-14 2.41197E-3
14.1 0.0200 31623 1.98785E-11 1.16867E-2 9.04277E-15 6.56239E-4
14.1 0.0190 100000 1.96379E-11 2.58196E-2 2.44753E-15 1.07010E-4
14.1 0.0200 316228 1.97380E-11 5.80002E-2 1.07499E-14 6.66659E-4
14.1 0.0190 1E6 2.11416E-11 1.48498E-1 7.33567E-15 6.00765E-4
14.6 0.0200 1000 2.01524E-11 8.92051E-2 2.59513E-14 1.33635E-3
14.6 0.0180 3162 1.97705E-11 1.20516E-2 1.24309E-13 5.95764E-3
14.6 0.0200 10000 1.97181E-11 8.23932E-3 2.74327E-14 1.70395E-3
14.6 0.0190 31623 1.96367E-11 1.13215E-2 1.51156E-14 5.97961E-4
14.6 0.0190 100000 1.93902E-11 2.54036E-2 2.53142E-15 1.11848E-4
14.6 0.0190 316228 1.94801E-11 5.69846E-2 2.22291E-14 7.50121E-4
14.6 0.0200 1E6 2.08969E-11 1.45083E-1 1.27594E-14 3.46915E-4
15.1 0.0200 1000 1.99334E-11 9.01113E-2 2.00634E-14 1.39515E-3
15.1 0.0210 3162 1.98600E-11 2.10897E-2 2.05578E-14 8.81099E-3
15.1 0.0200 10000 1.94724E-11 7.39373E-3 2.99465E-14 1.07016E-3
15.1 0.0200 31623 1.93979E-11 1.16102E-2 1.08942E-14 4.89267E-4
15.1 0.0200 100000 1.91496E-11 2.54851E-2 2.40185E-15 1.11322E-4
15.1 0.0200 316228 1.92459E-11 5.51740E-2 1.44149E-14 9.29998E-4
15.1 0.0200 1E6 2.06552E-11 1.43166E-1 1.07529E-14 4.92491E-4
15.6 0.0200 1000 1.97318E-11 9.15591E-2 2.56133E-14 1.41049E-3
15.6 0.0200 3162 1.95018E-11 1.26453E-2 9.35712E-14 4.85067E-3
15.6 0.0210 10000 1.92644E-11 1.02815E-2 1.92422E-14 2.38153E-3
15.6 0.0200 31623 1.91589E-11 1.12206E-2 9.49391E-15 4.38519E-4
15.6 0.0180 100000 1.89234E-11 2.52905E-2 2.59131E-15 1.49537E-4
15.6 0.0210 316228 1.90162E-11 5.67115E-2 1.97022E-14 1.13136E-3
15.6 0.0220 1E6 2.03902E-11 1.46474E-1 6.81762E-15 4.21901E-4
16.1 0.0220 1000 1.95163E-11 9.17393E-2 2.41993E-14 1.02981E-3
16.1 0.0190 3162 1.91162E-11 4.13304E-2 9.46458E-14 3.97049E-3
16.1 0.0210 10000 1.90149E-11 1.43622E-2 3.66018E-14 2.27636E-3
16.1 0.0200 31623 1.89288E-11 1.15395E-2 1.17879E-14 5.29121E-4
16.1 0.0220 100000 1.86850E-11 2.59619E-2 2.11965E-15 9.25510E-5
16.1 0.0210 316228 1.87868E-11 5.88812E-2 1.11388E-14 5.35201E-4
16.1 0.0200 1E6 2.00887E-11 1.55541E-1 9.18068E-15 5.93963E-4
16.7 0.0210 1000 1.93093E-11 9.33016E-2 1.46201E-14 1.46281E-3
16.7 0.0220 3162 1.88518E-11 3.52026E-2 6.97700E-14 5.52193E-3
16.7 0.0210 10000 1.87597E-11 6.84877E-3 1.93892E-14 1.18215E-3
16.6 0.0200 31623 1.86927E-11 1.10975E-2 7.08164E-15 6.20209E-4
16.7 0.0200 100000 1.84626E-11 2.42976E-2 2.08923E-15 1.52004E-4
16.7 0.0210 316228 1.85622E-11 5.21077E-2 1.29087E-14 8.22116E-4
16.7 0.0210 1E6 1.99655E-11 1.31497E-1 8.42312E-15 5.25281E-4
17.2 0.0210 1000 1.90412E-11 9.44542E-2 6.28068E-15 5.69287E-4
17.2 0.0230 3162 1.87431E-11 1.04503E-2 4.29368E-14 5.32556E-3
17.2 0.0230 10000 1.84020E-11 7.24715E-3 1.51144E-14 1.17264E-3
17.2 0.0210 31623 1.84652E-11 1.08063E-2 1.15131E-14 5.97380E-4
17.2 0.0230 100000 1.82236E-11 2.37900E-2 1.28876E-15 2.27327E-4
17.2 0.0210 316228 1.83302E-11 5.13554E-2 1.57902E-14 8.16899E-4
17.2 0.0220 1E6 1.97102E-11 1.32289E-1 7.60931E-15 6.26244E-4
17.8 0.0220 1000 1.88825E-11 9.63034E-2 3.54647E-14 1.73666E-3
17.8 0.0210 3162 1.86820E-11 2.05960E-2 4.66719E-14 9.77981E-3
17.8 0.0230 10000 1.82113E-11 1.53268E-2 4.30065E-14 1.93076E-3
17.8 0.0230 31623 1.82466E-11 1.11787E-2 8.93907E-15 8.45309E-4
17.8 0.0240 100000 1.80235E-11 2.39707E-2 2.74292E-15 1.42897E-4
17.8 0.0220 316228 1.81218E-11 5.24773E-2 1.80054E-14 7.40040E-4
17.8 0.0220 1E6 1.94666E-11 1.36814E-1 7.67560E-15 4.28480E-4
18.4 0.0240 1000 1.86617E-11 9.66698E-2 3.30170E-14 1.78044E-3
18.4 0.0230 3162 1.83189E-11 4.03748E-2 7.69689E-14 7.36030E-3
18.4 0.0240 10000 1.80404E-11 6.83202E-3 2.18372E-14 1.35518E-3
18.4 0.0220 31623 1.80137E-11 1.05622E-2 1.08558E-14 6.19712E-4
18.4 0.0230 100000 1.77963E-11 2.33577E-2 2.06843E-15 1.18042E-4
18.4 0.0220 316228 1.79110E-11 5.25403E-2 1.92857E-14 6.86135E-4
18.4 0.0240 1E6 1.92141E-11 1.36632E-1 7.59410E-15 3.78874E-4
19.0 0.0230 1000 1.84574E-11 9.61427E-2 1.35783E-14 3.58940E-4
19.0 0.0240 3162 1.81054E-11 1.29286E-2 4.82631E-14 4.93497E-3
19.0 0.0230 10000 1.78145E-11 1.71929E-2 2.28272E-14 1.37960E-3
19.0 0.0220 31623 1.78005E-11 1.05536E-2 1.29588E-14 7.91022E-4
19.0 0.0240 100000 1.75774E-11 2.31892E-2 2.02487E-15 1.37317E-4
19.0 0.0230 316228 1.76885E-11 5.25753E-2 1.23777E-14 8.03039E-4
19.0 0.0230 1E6 1.89831E-11 1.35585E-1 7.46539E-15 4.15636E-4
19.7 0.0250 1000 1.82521E-11 1.00067E-1 2.97642E-14 1.73863E-3
