#voltage[V] current[uA] LCR_freq[Hz] CP D CPerror Derror 
40.7 0.0410 100000 1.34289E-11 2.45896E-2 1.58063E-15 1.27727E-4
40.6 0.0410 316228 1.32529E-11 4.59833E-2 2.07226E-14 7.55242E-4
40.6 0.0400 1E6 1.42056E-11 1.23826E-1 7.42108E-15 6.50689E-4
42.0 0.0420 1000 1.44052E-11 1.09861E-1 3.00507E-14 1.96383E-3
42.0 0.0410 3162 1.35282E-11 6.89634E-2 6.82736E-14 5.17639E-3
42.0 0.0410 10000 1.31801E-11 1.27192E-2 2.78076E-14 2.10371E-3
42.0 0.0430 31623 1.31751E-11 1.24912E-2 8.40871E-15 1.00840E-3
42.0 0.0410 100000 1.32602E-11 2.45051E-2 1.90948E-15 1.31722E-4
42.0 0.0440 316228 1.30910E-11 4.54684E-2 1.68802E-14 1.60653E-3
42.0 0.0430 1E6 1.40243E-11 1.22536E-1 6.70612E-15 6.69054E-4
43.4 0.0410 1000 1.41793E-11 1.09164E-1 2.71946E-14 1.49493E-3
43.4 0.0420 3162 1.32197E-11 2.63593E-2 1.05581E-13 9.09953E-3
43.4 0.0400 10000 1.30750E-11 2.16697E-2 3.85386E-14 2.87956E-3
43.4 0.0430 31623 1.30093E-11 1.15720E-2 1.35953E-14 6.44769E-4
43.4 0.0430 100000 1.30928E-11 2.44882E-2 1.73208E-15 1.19408E-4
43.4 0.0420 316228 1.29228E-11 4.56690E-2 1.01073E-14 1.34304E-3
43.4 0.0430 1E6 1.38553E-11 1.23226E-1 8.34853E-15 6.11874E-4
44.9 0.0450 1000 1.40264E-11 1.08979E-1 2.23691E-14 1.90040E-3
44.9 0.0440 3162 1.34113E-11 3.37051E-2 3.62234E-14 8.12276E-3
44.9 0.0450 10000 1.28982E-11 1.32810E-2 1.84770E-14 1.57779E-3
44.9 0.0450 31623 1.28455E-11 1.29950E-2 1.29038E-14 1.13893E-3
44.9 0.0450 100000 1.29268E-11 2.54152E-2 2.61780E-15 1.74515E-4
44.9 0.0420 316228 1.27585E-11 4.94951E-2 1.51880E-14 1.34824E-3
44.9 0.0440 1E6 1.36391E-11 1.34068E-1 8.83663E-15 7.46370E-4
46.4 0.0430 1000 1.39421E-11 1.08507E-1 2.45537E-14 1.89505E-3
46.4 0.0450 3162 1.32274E-11 3.30089E-2 2.62811E-14 7.52216E-3
46.4 0.0450 10000 1.26361E-11 2.31191E-2 1.65763E-14 1.93849E-3
46.4 0.0460 31623 1.26942E-11 1.23665E-2 1.51591E-14 1.21850E-3
46.4 0.0440 100000 1.27608E-11 2.51533E-2 2.46351E-15 1.74623E-4
46.4 0.0470 316228 1.25926E-11 4.71815E-2 1.36793E-14 1.02810E-3
46.4 0.0450 1E6 1.34730E-11 1.29190E-1 6.93761E-15 6.11282E-4
47.9 0.0450 1000 1.37275E-11 1.07517E-1 3.24396E-14 2.25326E-3
47.9 0.0450 3162 1.28735E-11 6.50128E-2 1.76412E-13 8.78491E-3
47.9 0.0460 10000 1.25269E-11 1.81611E-2 5.86433E-14 4.54631E-3
47.9 0.0470 31623 1.25314E-11 1.21977E-2 7.54931E-15 1.00062E-3
47.9 0.0460 100000 1.26004E-11 2.47083E-2 2.05514E-15 1.69644E-4
47.9 0.0480 316228 1.24324E-11 4.59496E-2 1.52037E-14 1.32415E-3
47.9 0.0460 1E6 1.33193E-11 1.24275E-1 1.06614E-14 4.38953E-4
49.6 0.0460 1000 1.35621E-11 1.06808E-1 1.83530E-14 2.72472E-3
49.6 0.0480 3162 1.28079E-11 5.86219E-2 2.07365E-13 1.20433E-2
49.6 0.0480 10000 1.23680E-11 1.97484E-2 5.92360E-14 4.85936E-3
49.6 0.0460 31623 1.23693E-11 1.22859E-2 1.67437E-14 1.29521E-3
49.6 0.0470 100000 1.24424E-11 2.43993E-2 1.19084E-15 1.17513E-4
49.5 0.0470 316228 1.22804E-11 4.56634E-2 1.31985E-14 1.52079E-3
49.6 0.0460 1E6 1.31517E-11 1.22497E-1 7.01427E-15 4.69913E-4
51.2 0.0530 1000 1.34754E-11 1.06505E-1 2.10195E-14 2.69254E-3
51.2 0.0490 3162 1.27384E-11 4.82334E-2 1.24261E-13 1.44476E-2
51.2 0.0480 10000 1.22443E-11 2.28378E-2 7.64131E-14 4.23210E-3
51.2 0.0490 31623 1.22109E-11 1.29397E-2 1.05199E-14 6.53513E-4
51.2 0.0460 100000 1.22850E-11 2.43785E-2 2.27167E-15 1.40926E-4
51.2 0.0470 316228 1.21236E-11 4.48972E-2 1.21085E-14 1.00911E-3
51.2 0.0480 1E6 1.59640E-11 1.46083E-1 3.22174E-15 3.40663E-4
52.9 0.0490 1000 1.33227E-11 1.06168E-1 2.87437E-14 2.42228E-3
52.9 0.0480 3162 1.23600E-11 4.41904E-2 1.71105E-13 1.43385E-2
52.9 0.0490 10000 1.20969E-11 2.13850E-2 7.61949E-14 4.82584E-3
52.9 0.0480 31623 1.20601E-11 1.30782E-2 1.35903E-14 1.05377E-3
52.9 0.0490 100000 1.21321E-11 2.50157E-2 1.70763E-15 1.95588E-4
52.9 0.0480 316228 1.19714E-11 4.74573E-2 1.80772E-14 1.51800E-3
52.9 0.0490 1E6 1.57454E-11 1.50668E-1 1.80765E-15 4.20024E-4
54.7 0.0490 1000 1.31662E-11 1.05756E-1 2.97673E-14 3.11669E-3
54.7 0.0480 3162 1.21780E-11 4.75560E-2 1.55354E-13 1.41973E-2
54.7 0.0500 10000 1.19382E-11 2.35550E-2 8.21301E-14 4.32338E-3
54.7 0.0500 31623 1.19131E-11 1.30024E-2 1.27025E-14 1.08129E-3
54.7 0.0480 100000 1.19785E-11 2.49645E-2 2.30443E-15 1.57920E-4
54.7 0.0520 316228 1.18188E-11 4.63277E-2 9.21507E-15 1.03695E-3
54.7 0.0480 1E6 1.55589E-11 1.47847E-1 2.35576E-15 3.25599E-4
56.6 0.0530 1000 1.30185E-11 1.04145E-1 2.83701E-14 2.74491E-3
56.6 0.0500 3162 1.22097E-11 5.52170E-2 1.81907E-13 1.89074E-2
56.6 0.0510 10000 1.17945E-11 2.11874E-2 5.82104E-14 5.03816E-3
56.6 0.0490 31623 1.17619E-11 1.20605E-2 1.11154E-14 1.11107E-3
56.6 0.0500 100000 1.18280E-11 2.43782E-2 2.89282E-15 2.52801E-4
56.6 0.0500 316228 1.16750E-11 4.44544E-2 1.77335E-14 1.72382E-3
56.6 0.0520 1E6 1.53836E-11 1.40410E-1 5.18633E-15 3.11256E-4
58.4 0.0500 1000 1.28759E-11 1.04683E-1 5.10523E-14 2.92299E-3
58.5 0.0500 3162 1.20005E-11 4.59147E-2 2.17198E-13 1.41392E-2
58.4 0.0520 10000 1.16500E-11 2.02487E-2 6.48488E-14 4.50984E-3
58.5 0.0510 31623 1.16132E-11 1.23164E-2 1.71260E-14 1.19267E-3
58.5 0.0530 100000 1.16792E-11 2.30828E-2 2.49682E-15 1.91659E-4
58.5 0.0520 316228 1.15417E-11 3.97436E-2 9.21239E-15 1.43514E-3
58.5 0.0510 1E6 1.52429E-11 1.26122E-1 3.75059E-15 2.83041E-4
60.4 0.0520 1000 1.26894E-11 1.03268E-1 4.68061E-14 1.62477E-3
60.4 0.0520 3162 1.19323E-11 4.51448E-2 2.01371E-13 1.17054E-2
60.4 0.0530 10000 1.14965E-11 2.19789E-2 6.36976E-14 6.05767E-3
60.4 0.0530 31623 1.14793E-11 1.21093E-2 1.53773E-14 7.68799E-4
60.4 0.0520 100000 1.15356E-11 2.20596E-2 2.51865E-15 1.98277E-4
60.4 0.0520 316228 1.13907E-11 3.75443E-2 1.07509E-14 1.24922E-3
60.4 0.0530 1E6 1.50799E-11 1.17759E-1 3.48776E-15 3.38125E-4
62.4 0.0550 1000 1.25448E-11 1.01864E-1 3.30028E-14 3.01699E-3
62.4 0.0520 3162 1.15799E-11 6.53442E-2 1.63672E-13 1.22870E-2
62.4 0.0540 10000 1.13675E-11 1.78732E-2 6.83845E-14 4.53822E-3
62.4 0.0530 31623 1.13325E-11 1.16804E-2 6.88941E-15 1.28113E-3
62.4 0.0520 100000 1.13924E-11 2.14702E-2 2.51279E-15 2.58083E-4
62.4 0.0540 316228 1.12443E-11 3.60908E-2 1.04587E-14 2.37313E-3
62.4 0.0550 1E6 1.48999E-11 1.14471E-1 1.75317E-15 2.12984E-4
64.5 0.0550 1000 1.23940E-11 1.01445E-1 2.08964E-14 1.87183E-3
64.5 0.0540 3162 1.17100E-11 3.98932E-2 1.32778E-13 1.35935E-2
64.5 0.0550 10000 1.12101E-11 2.52946E-2 6.72232E-14 3.80297E-3
64.5 0.0550 31623 1.11867E-11 1.13899E-2 1.08093E-14 8.06948E-4
64.5 0.0550 100000 1.12469E-11 2.16843E-2 2.65707E-15 1.22788E-4
64.5 0.0550 316228 1.11099E-11 3.59027E-2 7.35475E-15 7.64643E-4
64.5 0.0530 1E6 1.47113E-11 1.12647E-1 2.66271E-15 2.55432E-4
66.7 0.0570 1000 1.22549E-11 1.01387E-1 2.39817E-14 2.60206E-3
66.7 0.0550 3162 1.12348E-11 6.35363E-2 7.83064E-14 1.16111E-2
66.7 0.0540 10000 1.10366E-11 2.38681E-2 3.99863E-14 5.34425E-3
66.7 0.0560 31623 1.10580E-11 1.15894E-2 1.26680E-14 1.26306E-3
66.7 0.0550 100000 1.11050E-11 2.15523E-2 2.29976E-15 1.61431E-4
66.7 0.0540 316228 1.09646E-11 3.58537E-2 1.44223E-14 1.50562E-3
66.7 0.0540 1E6 1.45257E-11 1.10939E-1 4.87869E-15 1.51421E-4
69.0 0.0550 1000 1.21700E-11 9.96624E-2 2.08381E-14 1.52337E-3
69.0 0.0560 3162 1.13979E-11 7.30498E-2 1.48012E-13 9.64535E-3
69.0 0.0550 10000 1.09322E-11 2.78375E-2 5.92774E-14 3.38077E-3
69.0 0.0550 31623 1.09152E-11 1.17278E-2 1.27022E-14 1.18629E-3
69.0 0.0570 100000 1.09636E-11 2.15614E-2 1.69673E-15 1.55098E-4
69.0 0.0560 316228 1.08263E-11 3.41011E-2 2.01856E-14 2.22476E-3
69.0 0.0560 1E6 1.43466E-11 1.09459E-1 3.95758E-15 2.58666E-4
71.3 0.0580 1000 1.20393E-11 9.79391E-2 2.58573E-14 2.25641E-3
71.3 0.0570 3162 1.12853E-11 3.76277E-2 1.57473E-13 4.21523E-3
71.3 0.0570 10000 1.08649E-11 2.06554E-2 5.02784E-14 4.66373E-3
71.3 0.0550 31623 1.07798E-11 1.26271E-2 1.72776E-14 1.02567E-3
71.2 0.0580 100000 1.08265E-11 2.13343E-2 1.50453E-15 1.13840E-4
71.3 0.0570 316228 1.06958E-11 3.37960E-2 9.42395E-15 9.36397E-4
71.2 0.0570 1E6 1.41660E-11 1.07982E-1 3.08972E-15 2.03113E-4
73.7 0.0580 1000 1.18997E-11 9.75879E-2 2.80304E-14 2.41904E-3
73.7 0.0570 3162 1.09184E-11 6.98631E-2 1.35347E-13 1.25139E-2
73.7 0.0590 10000 1.06441E-11 2.29790E-2 3.47013E-14 5.80885E-3
73.7 0.0560 31623 1.06476E-11 1.21192E-2 1.78080E-14 7.27969E-4
73.7 0.0570 100000 1.06955E-11 2.10297E-2 2.04460E-15 1.74353E-4
73.7 0.0580 316228 1.05536E-11 3.33357E-2 1.91523E-14 1.29103E-3
73.7 0.0580 1E6 1.39948E-11 1.06324E-1 4.19344E-15 9.66014E-5
76.1 0.0580 1000 1.17698E-11 9.66497E-2 3.16939E-14 2.33098E-3
76.1 0.0570 3162 1.09607E-11 3.77535E-2 1.39930E-13 3.26449E-3
76.1 0.0590 10000 1.06148E-11 2.81126E-2 5.17936E-14 4.10034E-3
76.1 0.0570 31623 1.05274E-11 1.17974E-2 1.04884E-14 8.87955E-4
76.1 0.0570 100000 1.05732E-11 2.11886E-2 2.73284E-15 1.92347E-4
76.1 0.0580 316228 1.04349E-11 3.30105E-2 2.04290E-14 1.94727E-3
76.1 0.0600 1E6 1.38298E-11 1.04965E-1 2.37447E-15 2.86962E-4
78.7 0.0610 1000 1.16699E-11 9.35431E-2 2.90567E-14 2.52871E-3
78.7 0.0570 3162 1.09705E-11 7.58814E-2 4.54975E-14 9.34399E-3
78.7 0.0600 10000 1.04397E-11 3.16450E-2 1.68679E-14 1.64339E-3
78.7 0.0580 31623 1.04194E-11 1.24814E-2 1.57400E-14 1.01630E-3
78.7 0.0600 100000 1.04635E-11 2.10124E-2 2.42907E-15 2.05496E-4
78.7 0.0560 316228 1.03286E-11 3.20200E-2 1.79917E-14 1.02195E-3
78.7 0.0600 1E6 1.36953E-11 1.01114E-1 3.06824E-15 3.18767E-4
81.3 0.0600 1000 1.15795E-11 9.38463E-2 2.84786E-14 2.52917E-3
81.3 0.0580 3162 1.09798E-11 6.35740E-2 6.29617E-14 1.72046E-2
81.3 0.0590 10000 1.04515E-11 2.73426E-2 2.90835E-14 4.61649E-3
81.3 0.0620 31623 1.03326E-11 1.22169E-2 1.18911E-14 1.33788E-3
81.3 0.0600 100000 1.03770E-11 2.08413E-2 2.12850E-15 2.05021E-4
81.3 0.0590 316228 1.02419E-11 3.16414E-2 1.70520E-14 1.43955E-3
81.3 0.0580 1E6 1.35726E-11 9.92968E-2 2.90911E-15 2.46746E-4
84.1 0.0600 1000 1.15023E-11 9.23081E-2 2.67673E-14 1.94213E-3
84.1 0.0600 3162 1.08730E-11 3.85988E-2 6.26036E-14 4.39784E-3
84.0 0.0610 10000 1.02435E-11 2.44125E-2 2.74493E-14 3.90890E-3
84.0 0.0640 31623 1.02686E-11 1.22080E-2 1.27387E-14 1.55935E-3
84.0 0.0600 100000 1.03150E-11 2.08926E-2 2.58312E-15 2.13941E-4
84.0 0.0600 316228 1.01810E-11 3.25682E-2 1.76206E-14 1.95248E-3
84.0 0.0600 1E6 1.34825E-11 9.86017E-2 2.97516E-15 3.71609E-4
86.9 0.0610 1000 1.14567E-11 9.19425E-2 2.93765E-14 2.49134E-3
86.9 0.0600 3162 1.04536E-11 5.52705E-2 4.57885E-14 1.89534E-2
86.9 0.0590 10000 1.02124E-11 2.28971E-2 3.00500E-14 6.09010E-3
86.9 0.0610 31623 1.02287E-11 1.27484E-2 1.33449E-14 1.20023E-3
86.9 0.0610 100000 1.02701E-11 2.10241E-2 3.02457E-15 1.98979E-4
86.9 0.0580 316228 1.01335E-11 3.12963E-2 9.92839E-15 1.48494E-3
86.9 0.0610 1E6 1.34085E-11 9.84589E-2 3.23636E-15 2.55961E-4
89.8 0.0580 1000 1.13962E-11 9.18135E-2 2.71900E-14 2.29485E-3
89.8 0.0610 3162 1.07936E-11 3.55487E-2 6.09920E-14 5.80114E-3
89.8 0.0600 10000 1.03089E-11 1.94702E-2 2.75874E-14 3.65409E-3
89.8 0.0620 31623 1.02072E-11 1.20626E-2 1.06803E-14 1.15186E-3
89.8 0.0600 100000 1.02403E-11 2.14578E-2 1.59966E-15 2.61929E-4
89.8 0.0600 316228 1.00966E-11 3.20383E-2 1.90007E-14 1.67545E-3
89.8 0.0610 1E6 1.33534E-11 9.84536E-2 3.48030E-15 2.05473E-4
92.8 0.0620 1000 1.14015E-11 9.12688E-2 2.35915E-14 2.04367E-3
92.8 0.0600 3162 1.04850E-11 7.19325E-2 6.61863E-14 1.12093E-2
92.8 0.0600 10000 1.01499E-11 2.74720E-2 2.46806E-14 4.10738E-3
92.8 0.0610 31623 1.01807E-11 1.28607E-2 1.43419E-14 8.37348E-4
92.8 0.0620 100000 1.02168E-11 2.16616E-2 1.83401E-15 1.42696E-4
92.8 0.0620 316228 1.00760E-11 3.36527E-2 9.47285E-15 1.41194E-3
92.8 0.0600 1E6 1.32918E-11 9.79335E-2 3.51078E-15 2.93118E-4
95.9 0.0620 1000 1.13831E-11 9.01886E-2 1.85040E-14 2.10525E-3
95.9 0.0610 3162 1.05519E-11 7.93998E-2 6.22064E-14 8.76814E-3
95.9 0.0640 10000 1.01551E-11 3.00898E-2 2.75291E-14 3.66156E-3
95.9 0.0610 31623 1.01567E-11 1.29268E-2 1.14635E-14 1.02563E-3
95.9 0.0610 100000 1.01976E-11 2.23907E-2 9.62081E-16 1.43256E-4
95.9 0.0620 316228 1.00298E-11 3.46047E-2 1.43674E-14 9.88618E-4
95.9 0.0620 1E6 1.32239E-11 9.88706E-2 3.41122E-15 2.38647E-4
99.1 0.0600 1000 1.13584E-11 9.03835E-2 3.07395E-14 2.00089E-3
99.1 0.0630 3162 1.04944E-11 3.92891E-2 4.63277E-14 2.35728E-3
99.1 0.0630 10000 1.01359E-11 2.22987E-2 2.97601E-14 3.76730E-3
99.1 0.0630 31623 1.01490E-11 1.37952E-2 1.47892E-14 1.00742E-3
99.1 0.0630 100000 1.01798E-11 2.33945E-2 1.96471E-15 1.48348E-4
99.1 0.0650 316228 1.00068E-11 3.64110E-2 1.32209E-14 1.68659E-3
99.1 0.0640 1E6 1.31390E-11 9.81416E-2 3.83541E-15 3.26095E-4
102.5 0.0630 1000 1.14081E-11 8.90552E-2 2.74369E-14 2.21517E-3
102.5 0.0640 3162 1.04548E-11 4.11261E-2 6.00300E-14 5.22917E-3
102.5 0.0600 10000 1.01688E-11 3.40794E-2 3.83864E-14 2.15036E-3
102.5 0.0620 31623 1.01424E-11 1.44498E-2 1.15862E-14 9.84919E-4
102.5 0.0640 100000 1.01596E-11 2.60574E-2 1.64101E-15 1.64703E-4
102.5 0.0630 316228 9.94963E-12 4.03841E-2 1.07448E-14 1.46937E-3
102.5 0.0620 1E6 1.30192E-11 9.57757E-2 2.15836E-15 3.17585E-4
105.9 0.0410 1000 1.13513E-11 8.79915E-2 2.09718E-14 1.57493E-3
105.9 0.0610 3162 1.06124E-11 8.54021E-2 1.77960E-14 1.13788E-3
105.9 0.0630 10000 1.02135E-11 3.32615E-2 2.09463E-14 2.24655E-3
105.9 0.0640 31623 1.01235E-11 1.67966E-2 9.54656E-15 9.13686E-4
105.9 0.0650 100000 1.01147E-11 3.16798E-2 2.93532E-15 2.17694E-4
105.9 0.0630 316228 9.80617E-12 4.43066E-2 1.51305E-14 1.40037E-3
105.9 0.0610 1E6 1.29082E-11 8.55480E-2 3.48563E-15 2.09154E-4
109.5 0.0650 1000 1.13539E-11 8.95338E-2 2.46558E-14 2.07880E-3
109.5 0.0630 3162 1.04877E-11 8.46266E-2 6.94097E-14 3.67592E-3
109.5 0.0620 10000 1.02373E-11 2.45454E-2 2.09724E-14 2.89828E-3
109.5 0.0630 31623 1.00854E-11 2.33685E-2 1.09366E-14 1.25055E-3
109.5 0.0650 100000 9.95156E-12 4.15361E-2 1.79405E-15 2.35531E-4
109.5 0.0640 316228 9.61177E-12 3.54254E-2 1.30306E-14 8.17185E-4
109.5 0.0630 1E6 1.28487E-11 7.23540E-2 3.15926E-15 2.02876E-4
113.2 0.0610 1000 1.13265E-11 9.35735E-2 9.97605E-15 3.90671E-4
113.2 0.0640 3162 1.08172E-11 6.84217E-2 2.30411E-14 8.93540E-3
113.2 0.0630 10000 1.01402E-11 2.72978E-2 1.29679E-14 1.74900E-3
113.1 0.0640 31623 9.92801E-12 3.54860E-2 1.01396E-14 1.14771E-3
113.1 0.0630 100000 9.69100E-12 3.62222E-2 2.68664E-15 1.92270E-4
113.2 0.0650 316228 9.53838E-12 2.22976E-2 1.67733E-14 1.10372E-3
113.1 0.0630 1E6 1.28279E-11 6.55553E-2 3.27177E-15 2.72270E-4
116.9 0.0640 1000 1.12990E-11 9.43506E-2 2.89096E-14 2.19084E-3
117.0 0.0640 3162 1.06806E-11 4.78126E-2 7.27126E-14 1.09663E-2
117.0 0.0630 10000 9.98849E-12 5.42365E-2 5.21062E-14 2.25564E-3
117.0 0.0620 31623 9.67733E-12 3.39870E-2 1.68156E-14 1.09067E-3
117.0 0.0640 100000 9.59640E-12 2.36485E-2 2.22047E-15 2.13953E-4
117.0 0.0640 316228 9.51205E-12 1.70741E-2 1.46601E-14 1.37918E-3
117.0 0.0630 1E6 1.28116E-11 6.25065E-2 2.40998E-15 2.18054E-4
120.9 0.0630 1000 1.11421E-11 1.01109E-1 3.45492E-14 2.98092E-3
120.9 0.0620 3162 1.03224E-11 9.99564E-2 1.01421E-13 1.42867E-3
120.9 0.0640 10000 9.73151E-12 3.72185E-2 5.60065E-14 3.03379E-3
120.9 0.0640 31623 9.54659E-12 2.08373E-2 8.00353E-15 5.72894E-4
120.9 0.0660 100000 9.57346E-12 1.67076E-2 2.41081E-15 1.99535E-4
120.9 0.0660 316228 9.50322E-12 1.42729E-2 1.46744E-14 1.36747E-3
120.9 0.0660 1E6 1.28042E-11 6.11941E-2 3.53469E-15 2.49038E-4
124.9 0.0660 1000 1.08473E-11 1.04846E-1 3.40744E-14 2.79491E-3
124.9 0.0640 3162 1.01693E-11 8.97292E-2 1.36736E-13 5.89451E-3
124.9 0.0660 10000 9.61529E-12 2.39648E-2 4.15586E-14 2.61513E-3
124.9 0.0640 31623 9.51958E-12 1.27574E-2 1.21689E-14 1.42366E-3
124.9 0.0630 100000 9.56264E-12 1.42609E-2 2.59735E-15 1.48453E-4
124.9 0.0650 316228 9.49567E-12 1.39612E-2 2.10581E-14 1.78995E-3
124.9 0.0670 1E6 1.27931E-11 6.09418E-2 4.39487E-15 2.43268E-4
129.1 0.0630 1000 1.07357E-11 1.00777E-1 2.94354E-14 3.10762E-3
129.1 0.0660 3162 1.00412E-11 4.14221E-2 1.51936E-13 6.14796E-3
129.1 0.0630 10000 9.61598E-12 3.44643E-2 4.33512E-14 4.84949E-3
129.1 0.0670 31623 9.51615E-12 1.19537E-2 1.30062E-14 1.94065E-3
129.1 0.0630 100000 9.55231E-12 1.39444E-2 1.55520E-15 1.99267E-4
129.1 0.0670 316228 9.47027E-12 1.36657E-2 1.21763E-14 1.62985E-3
129.1 0.0650 1E6 1.27834E-11 6.10503E-2 2.13063E-15 1.27293E-4
133.5 0.0670 1000 1.07183E-11 9.97395E-2 3.54506E-14 2.31459E-3
133.5 0.0650 3162 1.02091E-11 6.34549E-2 6.39506E-14 1.94776E-2
133.5 0.0660 10000 9.60287E-12 3.14418E-2 5.40553E-14 5.63888E-3
133.5 0.0650 31623 9.50572E-12 1.24163E-2 8.33496E-15 7.47155E-4
133.5 0.0660 100000 9.54534E-12 1.39488E-2 2.90109E-15 3.21359E-4
133.5 0.0680 316228 9.47452E-12 1.28589E-2 2.00955E-14 1.66402E-3
133.5 0.0660 1E6 1.27768E-11 6.05368E-2 3.86224E-15 2.77031E-4
138.0 0.0650 1000 1.06810E-11 9.91961E-2 3.22380E-14 3.00107E-3
138.0 0.0650 3162 1.00609E-11 7.77803E-2 1.35665E-13 1.45952E-2
138.0 0.0640 10000 9.55816E-12 1.98953E-2 5.00761E-14 3.03838E-3
138.0 0.0680 31623 9.50214E-12 1.19049E-2 9.09187E-15 1.20271E-3
138.0 0.0660 100000 9.53999E-12 1.41968E-2 2.14473E-15 3.03343E-4
137.9 0.0650 316228 9.46916E-12 1.49202E-2 1.30519E-14 1.30509E-3
138.0 0.0660 1E6 1.27603E-11 6.47253E-2 2.48010E-15 3.65292E-4
142.6 0.0660 1000 1.06635E-11 9.80546E-2 3.71659E-14 2.98856E-3
142.6 0.0660 3162 1.01168E-11 8.03975E-2 1.04018E-13 9.97845E-3
142.6 0.0660 10000 9.47509E-12 2.57955E-2 3.60922E-14 6.78764E-3
142.6 0.0670 31623 9.49854E-12 1.06456E-2 1.58716E-14 1.13414E-3
142.6 0.0680 100000 9.53436E-12 1.44071E-2 1.69580E-15 1.49223E-4
142.6 0.0680 316228 9.46474E-12 1.59164E-2 1.30696E-14 1.77889E-3
142.6 0.0660 1E6 1.27442E-11 6.73513E-2 3.05346E-15 2.71895E-4
147.4 0.0660 1000 1.06507E-11 9.66931E-2 3.18320E-14 3.30761E-3
147.4 0.0670 3162 9.81363E-12 4.12711E-2 1.10701E-13 1.03263E-2
147.4 0.0660 10000 9.58163E-12 2.24628E-2 5.10102E-14 4.27470E-3
147.4 0.0660 31623 9.48757E-12 1.17291E-2 1.47739E-14 9.50583E-4
147.4 0.0650 100000 9.52765E-12 1.47303E-2 2.10382E-15 2.45047E-4
147.4 0.0650 316228 9.45656E-12 1.67714E-2 1.73189E-14 2.07954E-3
147.4 0.0680 1E6 1.27317E-11 7.16447E-2 3.28099E-15 4.33661E-4
152.3 0.0660 1000 1.06504E-11 9.69416E-2 3.52392E-14 3.09649E-3
152.3 0.0680 3162 9.96553E-12 3.91828E-2 2.09964E-13 1.12449E-2
152.3 0.0650 10000 9.59325E-12 2.49201E-2 5.21021E-14 5.46624E-3
152.3 0.0650 31623 9.48232E-12 1.20983E-2 9.65401E-15 1.55228E-3
152.3 0.0670 100000 9.52460E-12 1.50845E-2 2.61043E-15 3.61254E-4
152.3 0.0660 316228 9.44998E-12 1.73338E-2 1.47467E-14 1.32268E-3
152.3 0.0670 1E6 1.27186E-11 7.41421E-2 2.08636E-15 2.47588E-4
157.4 0.0670 1000 1.06678E-11 9.81060E-2 3.63119E-14 2.78522E-3
157.4 0.0660 3162 9.84835E-12 6.74426E-2 1.50605E-13 1.98864E-2
157.4 0.0670 10000 9.50255E-12 2.81295E-2 4.90447E-14 7.76193E-3
157.4 0.0670 31623 9.47746E-12 1.16274E-2 1.41756E-14 1.42666E-3
157.4 0.0690 100000 9.51883E-12 1.52855E-2 2.12295E-15 3.05851E-4
157.4 0.0650 316228 9.45252E-12 1.83869E-2 1.97951E-14 2.01200E-3
157.4 0.0650 1E6 1.27113E-11 7.45298E-2 3.56776E-15 2.67398E-4
162.7 0.0670 1000 1.06698E-11 9.76794E-2 2.56301E-14 3.66200E-3
162.7 0.0670 3162 1.00030E-11 3.83591E-2 1.77770E-13 5.68210E-3
162.7 0.0680 10000 9.55272E-12 3.50297E-2 6.19392E-14 4.85446E-3
162.7 0.0680 31623 9.46749E-12 1.25938E-2 6.23515E-15 1.29577E-3
162.8 0.0680 100000 9.51466E-12 1.52273E-2 1.59693E-15 2.01652E-4
162.7 0.0670 316228 9.45581E-12 1.79032E-2 1.52776E-14 1.30730E-3
162.7 0.0670 1E6 1.27090E-11 7.51413E-2 3.27597E-15 2.52039E-4
168.2 0.0690 1000 1.06682E-11 9.86960E-2 4.16791E-14 2.85234E-3
168.2 0.0670 3162 9.94264E-12 8.02710E-2 1.67268E-13 1.11601E-2
168.2 0.0660 10000 9.46610E-12 2.74440E-2 3.71815E-14 6.02608E-3
168.2 0.0660 31623 9.47814E-12 1.22562E-2 1.42031E-14 9.36885E-4
168.2 0.0670 100000 9.51087E-12 1.53629E-2 2.13334E-15 2.13360E-4
168.2 0.0670 316228 9.43939E-12 1.84111E-2 1.62082E-14 1.30398E-3
168.2 0.0660 1E6 1.26956E-11 7.59899E-2 4.00556E-15 3.56998E-4
173.9 0.0680 1000 1.06655E-11 9.94738E-2 3.05991E-14 2.76565E-3
173.9 0.0700 3162 1.01841E-11 7.11928E-2 7.40444E-14 1.24283E-2
173.9 0.0670 10000 9.56996E-12 2.05237E-2 1.20976E-14 1.54149E-3
173.9 0.0680 31623 9.47292E-12 1.23350E-2 9.40396E-15 7.85752E-4
173.9 0.0690 100000 9.50744E-12 1.53953E-2 3.03426E-15 2.03621E-4
173.9 0.0690 316228 9.45051E-12 1.84801E-2 1.61467E-14 1.93707E-3
173.9 0.0680 1E6 1.26941E-11 7.62319E-2 3.12412E-15 1.81793E-4
179.7 0.0680 1000 1.06831E-11 1.02545E-1 1.88907E-14 1.12345E-3
179.7 0.0690 3162 9.96734E-12 8.75947E-2 3.03658E-14 6.58115E-3
179.7 0.0670 10000 9.60583E-12 2.81916E-2 2.13129E-14 2.36538E-3
179.7 0.0680 31623 9.46525E-12 1.26191E-2 1.35875E-14 1.44312E-3
179.7 0.0680 100000 9.50408E-12 1.53048E-2 1.96107E-15 1.91675E-4
